791,se eu fosse mulher do justin ia torcer pros nossos filhos puxarem ao pai pq que bicha estranha eu sou mano;n;;
888,acabei de lavar o cabelo;n;;
16867,Mai t· falando Ainda?;n;;
"3866,""#trocadepasses , @RogerFloresTV , acho que o novo tÈcnico do Flamengo pode ser o Wagner Mancini..!!""";n;;
"8188,""Prefiro ser sincero com as pessoas, mesmo que algumas n„o gostem, antes sincero e verdadeiro do que falso.""";b;;
3092,@ifvccabello sdv bb;n;;
14339,depende https://t.co/72u8Z7YH1W;n;;
"5602,""Deus, eu te amo.""";b;;
"18386,""hj parei p refletir como uma pessoa faz falta, como sua vida fica avulsa sem a presenÁa de quem vc sempre tem por perto, ent„o valoriza""";b;;
8419,J· avisei hj minha m„e que esse mÍs eu vou furar a orelha;n;;
"7614,""que Ûdio que eu fico quando n„o fazem quest„o mano, sÈrio""";r;;
21963,√î COITADO https://t.co/Sl1V0wKQx8;r;;
"1419,""@neves1laura @_camilamarquess laura, vocÍ È muito fofa, vou te adotar""";b;;
11634,ACABOU???;n;;
13820,tanta coisa precisa ser mudada em mim;r;;
8043,SUITS √â A MELHOR SERIE DO MUNDO!!!;b;;
"15281,""@awildponyta cara, eu sempre caio no gemidao por causa dessas merda de gif :(""";r;;
"17128,""Esse programa t· demais hoje.";b;;
Alegrou meu fim de semana, RSS!;b;;
O pÈ de bicho foi a melhor parte.;b;;
"#resenhaespn""";n;;
"12375,""fiz umas contas b·sicas hj e cheguei √† conclus„o q tenho 4 meses pro tcc, pra p1, pra p2, p trabalhos e pro simposio... dormir pra que nÈ?""";r;;
11478,RAPAAAAZ!!!!!! SER√Å QUE ELE MORREU MESMO! Mano!!!;n;;
"9371,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please. x181""";b;;
"21921,""Eu sou  meio zoeira d+ √†s vezes, ai eu falo sÈrio mas a pessoa n„o leva a sÈrio KKK KKJ n„o sei È bom ou ruim""";b;;
"22986,""@LeoSCCPJundiai Obrigado, meu mano! Tamo junto!!""";b;;
5455,Aprendam a viver a vida de vocÍs e n„o se importar com a dos outros;b;;
"17699,""E O PRE√áO QUE EU PAGO √â NUNCA SER AMADA DE VERDADE, NINGU√âM ME RESPEITAR NESSA CIDADE""";r;;
"22042,""Oi";n;;
;;;
TÙ aqui;n;;
;;;
Manda algo maneiro. De responsa.;n;;
;;;
Confio em vc.;b;;
;;;
"https://t.co/7xGTw29Ecn""";n;;
3036,Tiago dx essa musica do kevinho na minha cabeÁaaaaaa scr;b;;
17489,@Estadao Venezuela virou a desculpa para a imprensa bandida desviar o assunto das merdas que est„o acontecendo no Brasil.;r;;
"22148,""""""Eu morei no Canad· j·!e em Los Angeles !estudei interpretaÁ„o em Los Angeles !"""" lÍ a nossa conversa de novo, pq eu juro q √± te perguntei nd""";n;;
"22374,""@UOLNoticias Os Bolsotarios acham o m·ximo, nem os militares o  apoiam, zero projeto do que diz defender, caso de l‚Ä¶ https://t.co/pBIx3Ioant""";r;;
"14470,""bobo j· sabendo q n vai dar certo, mas È bem pior n ter vc por perto""";r;;
9760,Pesado #askbelieber https://t.co/OAnA0p2IaX;r;;
18874,@dinahjane97 LOVE;n;;
14199,@JuliaLima97 @Hangulptbr @ArmyDiario @BangtanMozao @LoveYouJoonie @Brangtanzil kkkk eu conheci umas Armys que virar‚Ä¶ https://t.co/zEH0NAvgPb;n;;
18176,Eu j· tinha visto o episÛdio mas mano. #DominGOT sendo DominGOT #GameOfThrones #Dracarys;b;;
"4038,""J· votaram no soribada hoje?";n;;
;;;
#BTSxSoribada ;n;;
#SoribadaBTS ;n;;
"#Soribada https://t.co/P7M6onYm7q""";n;;
536,Somente este homem pode salvar o flamengo https://t.co/vbrOc5L3Pb;n;;
2211,@netto_lolo an?;n;;
7337,@lowqualityboy KKKKKKKK apenas assim;n;;
22147,Desisto de tentar postar os snaps de hoje;r;;
15987,vadia;r;;
7882,A conex„o com as meninas È t„o forte que se uma tomar 1tiro n duvido q as outras sintam;n;;
18363,pelo menos amanh„ tem aula de educaÁ„o fÌsica;n;;
12573,disgraaaaaaaaaaaaaaÁa https://t.co/2XZ8Vsp0E4;r;;
7413,Eu n„o tÙ legal com meu Jon e minha Daenerys n„o tÙ bem mesmo #GameOfThrones;n;;
"19646,""minha cunhada rindo de mim no carro, ela riu tanto que quase bate o carro""";n;;
19968,Reggae musicccc;b;;
20732,Game of Thrones te amo ‚ù§Ô∏è;b;;
9747,PQP QUE EPIS√ìDIO DA PORRA;b;;
22931,Quem quer acordar cedo amanh„?;r;;
18010,2 livros para inspirar meninas https://t.co/353cDAG8Xg  https://t.co/Q9rqgYygYE;b;;
3678,que lindo eu chorando;b;;
1252,Meu amorzinho affff https://t.co/D9gTFpRchi;b;;
20851,oi 5sos vocÍ poderia por favor lanÁar as m˙sicas que vocÍs gravaram e mostraram trechos no dvd mas n„o colocaram no ·lbum ou ep? obrigada;b;;
13773,Ser rejeitada https://t.co/aLFmdP5wfm;r;;
3335,Esperando https://t.co/TMyRJWaa1G;b;;
8462,#RuedaNoFlamengo https://t.co/UozosXopNB;b;;
9262,@Geek_Jujuba Eu respeito e brinco e me zoam tambÈm!;n;;
6655,AmÈm https://t.co/ZgUWjflXYZ;n;;
11225,n„o vem me assaltar sem arma achando que vou entregar meu celular;r;;
21377,vou È dormir memo t· loco;r;;
11341,U FUCKING IDIOT;r;;
18776,@luclaflop MY DREAM;b;;
"22123,""@HeardYouCall SensaÁıes e reaÁıes difÌceis de verbalizar de uma forma direta, geralmente. A lua olhando pro lado te‚Ä¶ https://t.co/Gp4jkvUjOB""";n;;
21342,Nosso amigo e jornalista Wagner Hiroi continua desaparecido. Na torcida para que nada de grave tenha acontecido! https://t.co/J5pW9xDJQg;r;;
"7047,""Mano, quase choro vendo essa entrevista do Abel no fant·stico""";b;;
16681,Eu vou ficar brava da vida se eu tiver tomado essa multa;r;;
21776,Que cast viu ... https://t.co/7QCdzUu0b0;n;;
"16233,""Meu nome È rocky, eu estou no sÈtimo ano e atÈ hj eu nunca vi reggaeton na siga el toro. TOCA";n;;
PRA;n;;
"MIM""";n;;
"5857,""teixeira acha que manda em mim, vou dar na cara dele""";r;;
"237,""""""venceu em 2014!! sabe quanto tempo tem isso??? SETE ANOS""""""";r;;
5582,Sigam usando a Tag obrigado de nada. #IveteAvontade https://t.co/pofqsZUWI4;n;;
8423,Gosto demais desse frio;b;;
12853,Vai se fude que morte merda;r;;
17311,@HelenaSemNovela me dÍ a m„o e vamos juntas;n;;
11474,as vezes bate mÛ saudade kk;r;;
17007,@covinhas_boy TÙ aqui com vocÍ;n;;
6181,@lopes_luu Qual vai ser o jet?;n;;
8661,Afe esse moÁo pego pela central @cadefeministas que odio... #GameOfThrones;r;;
145,Kkkkk https://t.co/5ual3STNsh;r;;
20056,no momento se encontro 400% carente;r;;
22672,Eu perco qnd me chamam de morena kkkk sÈrio;n;;
14002,na verdade na hora que a dany surgiu eu j· tava correndo;n;;
"8877,""Essa semana vai ser uma correria, to atÈ vendo""";r;;
2784,se fuder porra meti a testa na quina do criado mudo;r;;
"22332,""""""pq vc veio morar em sp?!"""" https://t.co/IhQKz38rXH""";n;;
5403,N„o consigo lidar https://t.co/gVtWkNTvyc;n;;
16094,cosplay de @lobumariana https://t.co/gL17oNtGAp;n;;
"5103,""@bo_cross Eu ia parar, MAS TO LOGANDO (sou ruim espero que n se importe -q)""";r;;
17831,Bran t· naquela fase que vc lÍ George Orwell e acha que entendeu o mundo;n;;
3496,n„o adianta falar pra quem n„o quer ouvir...;r;;
22290,A @motionfalessy assitindo TVD https://t.co/W7f7Tk8uEx;n;;
4679,Truste  #askbelieber https://t.co/xoqE63V83M;n;;
14455,eu tÙ muito ousada deus coloca limites;n;;
3918,Queria saber cantar igual a Whitney Houston;b;;
11909,E depois fica perguntando: JOYCE PQ ELES EST√ÉO BRIGANDO?!;n;;
1728,Volta logo Jesus #Fant·stico;b;;
"9212,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please. x173""";b;;
7095,@BTS_twt Jungkook?;n;;
"15477,""Depois das duas coisas decepcionantes q escutei hoje, cheguei na total certeza que eu sÛ entro na bala e ponho a m„o no fogo por mim mesma.""";r;;
"3953,""Vou cumprir meus hor·rios e fim, pro meu pai n chapa na minha depois""";n;;
15245,@pabllovittar Mulher da minha vida;b;;
7911,@luuarruda_ KKKKK Sigo rindo;b;;
17459,Escutando bob;b;;
"5933,""""""Mas eu lembro quem È quem, nunca esqueÁo um porÈm,vÍm cheio de falsidade hoje, o que vai volta tambÈm....""""""";n;;
"1190,""Nada melhor que chega do Jogo, toma um ducha e deita, final de semana rendeu 100%""";b;;
9497,TÙ com vontade de comer um lanche do Tio ZÈ ( X-tudo)‚ù§Ô∏è;b;;
18171,Comer um lanche do jorginho;b;;
"7203,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please. x86""";b;;
19356,Ouvir m˙sica cl·ssica da tanta paz;b;;
"18975,""Sansa e Arya indo atÈ o Bran que lindo esse encontro, falta o Jon AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA""";b;;
"4014,""Tudo e todos que emporcalha este paÌs,deve ser varrido e posto no moedor pra n„o ter retorno,nem tudo que È renovav‚Ä¶ https://t.co/szBAcofDPS""";r;;
12438,Que episÛdio. Que episÛdio;r;;
9019,Essa festa da minha prima foi fodaaaa;b;;
21910,quando o capit„o holt sai da 99... eu fico muito triste;r;;
"20496,""Na comemoraÁ„o do 3¬∞ gol do Corinthians contra o Sport est· o resumo da minha vida amorosa! ‚ù§Ô∏è";b;;
"Eu sou o Arana. https://t.co/vvsBouuOMu""";b;;
20829,@MaauricioLuiz so quero menino bran trocando de pele com um dragao;n;;
13808,O grito que eu dei quando aquela flecha acertou o Drogon. Meu olho encheu de agua na hr! #GameOfThrones;b;;
"15608,""n„o adianta querer conquistar um taurino se vocÍ n„o est· disposto a dar atenÁ„o e passar seguranÁa";r;;
;;;
"nem tenta""";n;;
6666,@mariana_antune1 n„o sou eu kkk;n;;
10466,N√ÉO EU N√ÉO CONSIGO OLHAR;n;;
672,Sean paul - give it up to me;n;;
4814,slc vou atÈ parar de responder jjk;n;;
20070,@dinahjane97 follow me;n;;
7793,Mindinho se borrou com a Arya kkkkk amei;b;;
23058,Queria mandar mensagem mas ainda estou mt consciente p fazer isso;n;;
17579,Eu n„o devia estar surpresa;n;;
194,Lundu https://t.co/Zp4iByI6OS;n;;
15607,E vai comeÁar tudo de novo;n;;
"20849,""Sobre a #GOT7 ";n;;
"O meu Got7/ O meu Got7 tambÈm https://t.co/49DQHfR6T6""";n;;
"18791,""O farofa j· foi p Austr·lia bicho, amanh„ ele chega l· p construir a vida dele. Luuuz meu bom""";b;;
"4054,""meados de 2006, PS2 rodando um Winning Eleven";b;;
Era um mar de mitos, os melhores jogadores estavam l·;b;;
Agora tu pega;n;;
"tem 2 times bons sÛ""";n;;
6244,Nossos segredos desvendados no escuro do meu quarto...;n;;
18223,T· chegando a horaaaaaaa;b;;
"13327,""e o bds como sempre cai depois da exbiÁ„o do e, vc quer @?? #gots7""";r;;
11530,PQP QUE EPIS√ìDIO FOI ESSE?!!! #GameOfThrones;b;;
9328,se o tempo que eu ja gastei jogando fosse usado fazendo qualquer merda util eu tava mt bem de vidfa;r;;
15769,Quero https://t.co/qjgjHcgbSz;n;;
2786,que fds corridinho fiz mil coisas muito gostoso;b;;
21471,@bynnath Oi linda;b;;
"6968,""You're just everything to me! I'm very proud to be your fan @dinahjane97 Follow me and fulfill my dream, I beg you please. x80""";b;;
"7546,""Perguntas, confissıes, qualquer coisa que me faÁa rir... Enfim. https://t.co/rMfH19cvRt""";r;;
13579,@ProHelpFollows CÍ vai conseguir;b;;
9231,Agradecendo por ter um amigo pra me salvar nesse domingo do c„o;b;;
